cameraVerify failed! address: 3008, expected: 80, actual: 2
cameraVerify failed! address: CE04, expected: 3, actual: 0
cameraVerify failed! address: EE85, expected: 3, actual: 0
cameraVerify failed! address: E06, expected: 4, actual: 0
cameraVerify failed! address: 2E87, expected: 4, actual: 0
cameraVerify failed! address: 4E18, expected: 4, actual: 0
cameraVerify failed! address: 6E99, expected: 4, actual: 0
cameraVerify failed! address: 8E1A, expected: 4, actual: F0
cameraVerify failed! address: AE9B, expected: 4, actual: 54
cameraVerify failed! address: CE1C, expected: 4, actual: 0
cameraVerify failed! address: EE9D, expected: 4, actual: 0
cameraVerify failed! address: E1E, expected: 5, actual: 0
cameraVerify failed! address: 2E9F, expected: 7, actual: 0
cameraVerify failed! address: 4201, expected: 5, actual: 0
cameraVerify failed! address: 481F, expected: 0, actual: 3C
cameraVerify failed! address: 2007, expected: 5, actual: 0
cameraVerify failed! address: AD80, expected: 1, actual: E5
cameraVerify failed! address: 8203, expected: 5, actual: F7
cameraVerify failed! address: 8A1F, expected: 0, actual: 6B
cameraVerify failed! address: 6007, expected: 5, actual: A1
cameraVerify failed! address: AD80, expected: 1, actual: E5
cameraVerify failed! address: C205, expected: 5, actual: 0
cameraVerify failed! address: A007, expected: 5, actual: C
cameraVerify failed! address: AD80, expected: 1, actual: E5
cameraVerify failed! address: 207, expected: 6, actual: 0
cameraVerify failed! address: E1F, expected: 1, actual: 0
cameraVerify failed! address: 2208, expected: 1, actual: 0
cameraVerify failed! address: E007, expected: 5, actual: 0
cameraVerify failed! address: AD80, expected: 1, actual: E5
cameraVerify failed! address: 4209, expected: 6, actual: 0
cameraVerify failed! address: 501F, expected: 1, actual: 0
cameraVerify failed! address: 620A, expected: 1, actual: 0
cameraVerify failed! address: 2007, expected: 6, actual: 0
cameraVerify failed! address: AD80, expected: 1, actual: E5
cameraVerify failed! address: 820B, expected: 6, actual: D5
cameraVerify failed! address: 911F, expected: 1, actual: 39
cameraVerify failed! address: A20C, expected: 1, actual: 52
cameraVerify failed! address: 6007, expected: 6, actual: A1
cameraVerify failed! address: AD80, expected: 1, actual: E5
cameraVerify failed! address: C20D, expected: 6, actual: 0
cameraVerify failed! address: D21F, expected: 1, actual: 0
cameraVerify failed! address: E20E, expected: 1, actual: 0
cameraVerify failed! address: A007, expected: 6, actual: C
cameraVerify failed! address: AD80, expected: 1, actual: E5
cameraVerify failed! address: 20F, expected: 7, actual: 0
cameraVerify failed! address: 131F, expected: 2, actual: 0
cameraVerify failed! address: 2210, expected: 2, actual: 0
cameraVerify failed! address: E007, expected: 6, actual: 0
cameraVerify failed! address: AD80, expected: 1, actual: E5
cameraVerify failed! address: 330E, expected: CD, actual: 0
cameraVerify failed! address: 1234, expected: 6D, actual: 0
cameraVerify failed! address: DEEC, expected: 5, actual: 0
cameraVerify failed! address: 3503, expected: 7, actual: 0
cameraVerify failed! address: 3A10, expected: 32, actual: 40
cameraVerify failed! address: 3A1B, expected: 3C, actual: 4A
cameraVerify failed! address: 3A1E, expected: 32, actual: 3E
cameraVerify failed! address: 3A11, expected: 80, actual: 70
cameraVerify failed! address: 3002, expected: C, actual: 0
cameraVerify failed! address: FFFF, expected: FF, actual: 0
cameraVerify failed! address: 3801, expected: A8, actual: B0
cameraVerify failed! address: FFFF, expected: FF, actual: 0
